placeName,placeTypeHint,lat,lng,plusCode,googleMapsUrl
Agros,HVO_TANKSTELLE,53.114047,6.107729,,"https://www.google.com/maps/search/?api=1&query=53.1140472,6.1077291"
Agros,HVO_TANKSTELLE,52.153439,6.714517,,"https://www.google.com/maps/search/?api=1&query=52.1534386,6.7145168"
Agros,HVO_TANKSTELLE,52.122408,5.563676,,"https://www.google.com/maps/search/?api=1&query=52.122408,5.563676"
Agros,HVO_TANKSTELLE,53.176156,6.733654,,"https://www.google.com/maps/search/?api=1&query=53.176156,6.7336538"
Agros,HVO_TANKSTELLE,51.462353,5.633018,,"https://www.google.com/maps/search/?api=1&query=51.4623526,5.6330177"
Agros,HVO_TANKSTELLE,51.499292,5.728031,,"https://www.google.com/maps/search/?api=1&query=51.4992921,5.7280312"
Agros,HVO_TANKSTELLE,52.234840,7.003513,,"https://www.google.com/maps/search/?api=1&query=52.2348398,7.0035126"
Agros,HVO_TANKSTELLE,53.240176,5.898003,,"https://www.google.com/maps/search/?api=1&query=53.2401757,5.8980029"
Agros,HVO_TANKSTELLE,52.297679,6.576810,,"https://www.google.com/maps/search/?api=1&query=52.2976785,6.5768102"
Agros,HVO_TANKSTELLE,52.094218,6.650750,,"https://www.google.com/maps/search/?api=1&query=52.0942176,6.6507497"
Agros,HVO_TANKSTELLE,52.848064,6.342321,,"https://www.google.com/maps/search/?api=1&query=52.8480639,6.342321"
Agros,HVO_TANKSTELLE,52.711221,6.517211,,"https://www.google.com/maps/search/?api=1&query=52.711221,6.5172112"
Agros,HVO_TANKSTELLE,53.191731,5.764890,,"https://www.google.com/maps/search/?api=1&query=53.1917312,5.7648903"
Agros,HVO_TANKSTELLE,53.160848,6.996783,,"https://www.google.com/maps/search/?api=1&query=53.1608477,6.9967825"
Agros,HVO_TANKSTELLE,53.030957,5.650044,,"https://www.google.com/maps/search/?api=1&query=53.0309571,5.6500438"
Agros,HVO_TANKSTELLE,51.997406,6.352597,,"https://www.google.com/maps/search/?api=1&query=51.9974062,6.3525971"
Agros,HVO_TANKSTELLE,52.263874,5.582224,,"https://www.google.com/maps/search/?api=1&query=52.2638741,5.5822241"
Agros,HVO_TANKSTELLE,52.781369,6.904441,,"https://www.google.com/maps/search/?api=1&query=52.7813694,6.9044414"
Agros,HVO_TANKSTELLE,52.594218,6.092253,,"https://www.google.com/maps/search/?api=1&query=52.5942181,6.0922535"
Agros,HVO_TANKSTELLE,52.730761,6.503814,,"https://www.google.com/maps/search/?api=1&query=52.7307607,6.5038141"
Agros,HVO_TANKSTELLE,52.731163,6.475832,,"https://www.google.com/maps/search/?api=1&query=52.7311628,6.475832"
Agros,HVO_TANKSTELLE,52.336433,5.529922,,"https://www.google.com/maps/search/?api=1&query=52.3364333,5.5299219"
Agros,HVO_TANKSTELLE,51.344252,6.191495,,"https://www.google.com/maps/search/?api=1&query=51.3442523,6.1914947"
Agros / Texaco,HVO_TANKSTELLE,52.295029,6.878711,,"https://www.google.com/maps/search/?api=1&query=52.2950285,6.878711"
André König - Tankstelle,HVO_TANKSTELLE,47.065003,7.294198,,"https://www.google.com/maps/search/?api=1&query=47.0650032,7.2941982"
Anton Willer,HVO_TANKSTELLE,54.332980,10.113960,,"https://www.google.com/maps/search/?api=1&query=54.3329797,10.1139601"
AP Tankstelle,HVO_TANKSTELLE,47.748283,13.067890,,"https://www.google.com/maps/search/?api=1&query=47.7482826,13.06789"
AP Tankstelle Truck (Icon klicken!),HVO_TANKSTELLE,47.733295,13.085591,,"https://www.google.com/maps/search/?api=1&query=47.7332952,13.0855908"
AP Trading,HVO_TANKSTELLE,47.864038,13.016099,,"https://www.google.com/maps/search/?api=1&query=47.864038,13.0160992"
AP Trading,HVO_TANKSTELLE,47.362133,13.383478,,"https://www.google.com/maps/search/?api=1&query=47.3621333,13.3834778"
AP Trading ( LKW + PKW ?),HVO_TANKSTELLE,48.189041,15.406180,,"https://www.google.com/maps/search/?api=1&query=48.1890409,15.4061801"
AP Truck (und ältere PKW oder mit Trichter),HVO_TANKSTELLE,47.566032,12.155988,,"https://www.google.com/maps/search/?api=1&query=47.5660315,12.1559882"
Aral,HVO_TANKSTELLE,50.190248,8.742524,,"https://www.google.com/maps/search/?api=1&query=50.1902481,8.7425239"
Aral ( LKW / PKW ),HVO_TANKSTELLE,48.244071,10.372535,,"https://www.google.com/maps/search/?api=1&query=48.2440707,10.3725355"
Aral ( LKW + PKW? ),HVO_TANKSTELLE,53.803591,9.938762,,"https://www.google.com/maps/search/?api=1&query=53.8035909,9.9387623"
Aral ( PKW + LKW ),HVO_TANKSTELLE,54.657115,9.945511,,"https://www.google.com/maps/search/?api=1&query=54.6571148,9.9455111"
Aral ( PKW? / LKW ),HVO_TANKSTELLE,51.453286,6.740314,,"https://www.google.com/maps/search/?api=1&query=51.4532857,6.7403142"
ARAL (LKW + ältere PKW oder Trichter),HVO_TANKSTELLE,51.731188,9.973050,,"https://www.google.com/maps/search/?api=1&query=51.7311877,9.9730496"
Aral (PKW + LKW),HVO_TANKSTELLE,48.137945,11.711336,,"https://www.google.com/maps/search/?api=1&query=48.1379452,11.7113356"
Aral / Joiss Truck ( und ältere PKW ),HVO_TANKSTELLE,52.685600,8.782794,,"https://www.google.com/maps/search/?api=1&query=52.6855995,8.7827941"
Aral LKW,HVO_TANKSTELLE,51.676563,7.775496,,"https://www.google.com/maps/search/?api=1&query=51.6765631,7.7754957"
"Aral LKW (sowie ältere PKW, neuere mit Trichter)",HVO_TANKSTELLE,49.550157,8.449386,,"https://www.google.com/maps/search/?api=1&query=49.5501573,8.4493862"
Aral Truck,HVO_TANKSTELLE,53.087708,8.711720,,"https://www.google.com/maps/search/?api=1&query=53.0877076,8.7117196"
Aral Truck,HVO_TANKSTELLE,51.529202,7.527771,,"https://www.google.com/maps/search/?api=1&query=51.5292018,7.5277708"
Aral Truck (+ ältere PKW),HVO_TANKSTELLE,50.885650,10.931722,,"https://www.google.com/maps/search/?api=1&query=50.8856496,10.9317221"
Aral Truck (neuere PKW mit Trichter),HVO_TANKSTELLE,51.295287,13.730147,,"https://www.google.com/maps/search/?api=1&query=51.2952867,13.7301473"
"Aral Truck (PKW-Infos, Icon klicken)",HVO_TANKSTELLE,53.489783,10.114380,,"https://www.google.com/maps/search/?api=1&query=53.4897827,10.1143798"
Aral Truck (PKW?),HVO_TANKSTELLE,51.270931,9.517430,,"https://www.google.com/maps/search/?api=1&query=51.2709307,9.5174297"
Aral Truck (PKW?),HVO_TANKSTELLE,51.242114,9.438237,,"https://www.google.com/maps/search/?api=1&query=51.2421141,9.4382368"
Aral Truck (PKW?),HVO_TANKSTELLE,50.982477,6.919592,,"https://www.google.com/maps/search/?api=1&query=50.982477,6.9195921"
Aral Truck (PKW?),HVO_TANKSTELLE,48.742667,11.473753,,"https://www.google.com/maps/search/?api=1&query=48.7426666,11.4737526"
Aral Truck (PKW?),HVO_TANKSTELLE,49.991045,8.313846,,"https://www.google.com/maps/search/?api=1&query=49.9910446,8.3138459"
Aral Truck (PKW?),HVO_TANKSTELLE,49.293924,8.477462,,"https://www.google.com/maps/search/?api=1&query=49.2939244,8.4774622"
Aral Truck (PKW?),HVO_TANKSTELLE,50.749756,6.850807,,"https://www.google.com/maps/search/?api=1&query=50.7497558,6.8508072"
Aral Truck (PKW?),HVO_TANKSTELLE,50.884635,6.906884,,"https://www.google.com/maps/search/?api=1&query=50.8846352,6.9068835"
Aral Truck (PKW?),HVO_TANKSTELLE,52.146779,7.736304,,"https://www.google.com/maps/search/?api=1&query=52.1467793,7.736304"
Aral Truck (PKW?),HVO_TANKSTELLE,52.491670,8.079157,,"https://www.google.com/maps/search/?api=1&query=52.4916696,8.0791571"
Aral Truck (PKW?),HVO_TANKSTELLE,49.567099,11.327283,,"https://www.google.com/maps/search/?api=1&query=49.5670988,11.3272831"
Aral Truck (PKW?),HVO_TANKSTELLE,50.021487,10.216501,,"https://www.google.com/maps/search/?api=1&query=50.0214874,10.2165007"
Aral Truck (PKW?),HVO_TANKSTELLE,52.314677,13.663331,,"https://www.google.com/maps/search/?api=1&query=52.3146772,13.6633312"
Aral Truck (PKW?),HVO_TANKSTELLE,49.157275,11.041125,,"https://www.google.com/maps/search/?api=1&query=49.1572751,11.041125"
Aral Truck (und ältere PKW oder mit Trichter ),HVO_TANKSTELLE,50.648458,7.334570,,"https://www.google.com/maps/search/?api=1&query=50.6484581,7.3345705"
ARAL Truck / PKW(?) (Icon klicken!),HVO_TANKSTELLE,51.500011,6.981380,,"https://www.google.com/maps/search/?api=1&query=51.5000112,6.9813802"
Aral Truck + ältere PKW (neuere mit Trichter),HVO_TANKSTELLE,49.746175,10.633616,,"https://www.google.com/maps/search/?api=1&query=49.7461745,10.6336162"
Aral Truck + ältere PKW mit Trichter ( neuere PKW?),HVO_TANKSTELLE,49.778239,10.065926,,"https://www.google.com/maps/search/?api=1&query=49.7782388,10.0659263"
Aral Truck + ältere PKW mit Trichter ( neuere PKW?),HVO_TANKSTELLE,51.597969,8.515496,,"https://www.google.com/maps/search/?api=1&query=51.5979692,8.515496"
Aral Truck und ältere PKW (neuere PKW mit Adapter),HVO_TANKSTELLE,51.177585,12.010615,,"https://www.google.com/maps/search/?api=1&query=51.177585,12.0106146"
Aral Truck und PKW,HVO_TANKSTELLE,48.386475,10.035808,,"https://www.google.com/maps/search/?api=1&query=48.3864748,10.0358085"
AS24 Truck,HVO_TANKSTELLE,49.703497,5.627273,,"https://www.google.com/maps/search/?api=1&query=49.7034972,5.6272726"
AS24 Truck,HVO_TANKSTELLE,48.771234,7.243149,,"https://www.google.com/maps/search/?api=1&query=48.7712342,7.2431492"
AS24 Truck,HVO_TANKSTELLE,48.615534,6.184105,,"https://www.google.com/maps/search/?api=1&query=48.6155341,6.1841051"
Autocenter Auer,HVO_TANKSTELLE,47.962784,12.610853,,"https://www.google.com/maps/search/?api=1&query=47.9627836,12.6108532"
Autohaus Schlick,HVO_TANKSTELLE,49.473162,7.063410,,"https://www.google.com/maps/search/?api=1&query=49.4731622,7.0634099"
Autohof Freienbrink PKW + LKW,HVO_TANKSTELLE,52.386035,13.800653,,"https://www.google.com/maps/search/?api=1&query=52.386035,13.8006528"
Avia,HVO_TANKSTELLE,47.360377,10.190702,,"https://www.google.com/maps/search/?api=1&query=47.3603765,10.190702"
AVIA,HVO_TANKSTELLE,48.761073,14.990288,,"https://www.google.com/maps/search/?api=1&query=48.7610734,14.9902875"
AVIA,HVO_TANKSTELLE,48.602413,15.186471,,"https://www.google.com/maps/search/?api=1&query=48.6024128,15.1864713"
AVIA,HVO_TANKSTELLE,48.228163,15.677044,,"https://www.google.com/maps/search/?api=1&query=48.2281633,15.6770445"
AVIA,HVO_TANKSTELLE,48.280207,14.376340,,"https://www.google.com/maps/search/?api=1&query=48.2802066,14.37634"
AVIA,HVO_TANKSTELLE,49.285379,9.679090,,"https://www.google.com/maps/search/?api=1&query=49.2853795,9.6790903"
